perturbation,total_targets,explained_1hop,explained_2hop,explained_3hop,explained_1hop_excl,explained_2hop_excl,explained_3hop_excl,total_explained,coverage_1hop,coverage_2hop,coverage_3hop,coverage_total,unexplained
PAK2,165,1,144,161,1,144,17,162,0.6060606060606061,87.27272727272727,97.57575757575758,98.18181818181819,3
PARP12,179,0,54,178,0,54,124,178,0.0,30.16759776536313,99.4413407821229,99.4413407821229,1
PCMTD2,143,0,7,142,0,7,135,142,0.0,4.895104895104895,99.3006993006993,99.3006993006993,1
PDCD6,137,1,95,134,1,94,39,134,0.7299270072992701,69.34306569343066,97.8102189781022,97.8102189781022,3
PDLIM2,137,0,71,135,0,71,64,135,0.0,51.82481751824818,98.54014598540147,98.54014598540147,2
PDLIM7,150,1,137,148,1,136,11,148,0.6666666666666667,91.33333333333333,98.66666666666667,98.66666666666667,2
PDP1,154,0,100,154,0,100,54,154,0.0,64.93506493506493,100.0,100.0,0
PECR,169,0,60,168,0,60,108,168,0.0,35.50295857988166,99.40828402366864,99.40828402366864,1
PEX6,114,0,18,113,0,18,95,113,0.0,15.789473684210526,99.12280701754386,99.12280701754386,1
PHF19,165,1,100,164,1,99,64,164,0.6060606060606061,60.60606060606061,99.39393939393939,99.39393939393939,1
PHLDA3,153,0,52,152,0,52,100,152,0.0,33.98692810457516,99.34640522875817,99.34640522875817,1
PHRF1,128,0,31,128,0,31,97,128,0.0,24.21875,100.0,100.0,0
PLBD2,136,0,82,133,0,82,51,133,0.0,60.29411764705882,97.79411764705883,97.79411764705883,3
PLEKHA5,136,0,38,135,0,38,97,135,0.0,27.941176470588236,99.26470588235294,99.26470588235294,1
PLEKHH3,176,0,1,0,0,1,0,1,0.0,0.5681818181818182,0.0,0.5681818181818182,175
PLPP3,137,1,55,135,1,54,80,135,0.7299270072992701,40.14598540145985,98.54014598540147,98.54014598540147,2
PLTP,135,0,76,135,0,76,59,135,0.0,56.2962962962963,100.0,100.0,0
