source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval
PVT1,hgnc:uniprot:Q8L925,hgnc:mesh:D007239,GRHPR,Complex,Activation,DecreaseAmount,0.923,0.86,0.86,3,1,2,0.31912124,0.0268674190407128
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS28,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.074509196,0.0272628810460014
PVT1,YAP1,hgnc:mesh:D000952,SUCLG2,Complex,Complex,DecreaseAmount,0.9419,0.9419,0.89,4,4,1,0.36277655,0.0273676905196448
PVT1,hgnc:uniprot:Q9W4S7,MYC,BCAT1,Complex,Complex,IncreaseAmount,0.86,0.9497812999999999,0.9825,2,7,1,0.34357205,0.0274176397771307
PVT1,hgnc:mesh:D063646,hgnc:mesh:D000860,TOMM20,Activation,Activation,DecreaseAmount,0.8775000000000001,0.86,0.86,2,2,2,0.19612962,0.0278847225211107
PVT1,hgnc:mesh:D009369,ETS1,TRAPPC11,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.95,1,1,2,0.75919306,0.0281358042248056
PVT1,STAT1,hgnc:uniprot:P19711,AC016747.1,Complex,Complex,DecreaseAmount,0.9419,0.94757,0.86,4,5,1,0.5026713,0.0288179004711312
PVT1,hgnc:mesh:D009369,NR5A2,MAVS,Inhibition,Activation,DecreaseAmount,0.99916994,0.86,0.9419,1,1,4,0.3601436,0.0288503045152401
PVT1,hgnc:mesh:D009369,ATF4,CHD8,Inhibition,Activation,DecreaseAmount,0.99916994,0.949271,0.79,1,4,1,0.41322473,0.0293200471252516
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,NDUFA10,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.27832496,0.0293675641880352
PVT1,hgnc:mesh:D009369,PAX2,TRAP1,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.4306728,0.0299466756422009
PVT1,hgnc:mesh:D009369,MIR145,TIMM9,Inhibition,DecreaseAmount,DecreaseAmount,0.99916994,0.9499999999895397,0.8775000000000001,1,3,2,0.49394524,0.0300099670639807
PVT1,hgnc:mesh:D009369,ATF4,DFFA,Inhibition,Activation,DecreaseAmount,0.99916994,0.949271,0.79,1,4,1,0.3913893,0.0302642838050519
PVT1,MYC,NRF1,HNRNPAB,Inhibition,Complex,DecreaseAmount,0.98922,0.923,0.79,5,3,1,0.25725704,0.0309024581691499
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:mesh:D013274,MRPS9,Complex,Complex,DecreaseAmount,0.94757,0.9419,0.86,5,4,2,0.52951396,0.0310652346090186
PVT1,NOTCH1,KRT8P33,RACK1,Activation,Inhibition,IncreaseAmount,0.86,0.923,0.89,2,3,1,0.08123074,0.0313117450422666
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RAB30-DT,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.65774596,0.0314046181801477
PVT1,FOXO3,MEF2A,NPM3,Complex,Activation,DecreaseAmount,0.8775000000000001,0.9419,0.79,2,4,1,0.3269757,0.0315793923641221
